epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,405.381,0.64597,0.50916,0.87209,0.98974,1,0.995,0.6911,1.09385,0.59556,1.08022,0.000707498,0.000707498,0.000707498
155,408.016,0.61149,0.50109,0.8617,0.96118,0.97222,0.96139,0.70011,1.0338,0.5735,1.05894,0.000702782,0.000702782,0.000702782
156,410.614,0.60677,0.4931,0.86404,0.98756,1,0.995,0.69596,1.02621,0.56874,1.02622,0.000698066,0.000698066,0.000698066
157,413.248,0.6285,0.4861,0.85117,0.98444,1,0.995,0.67555,1.13891,0.59778,1.06354,0.000693351,0.000693351,0.000693351
158,415.825,0.64366,0.49764,0.85406,0.98517,1,0.995,0.68594,1.07965,0.57419,1.10209,0.000688635,0.000688635,0.000688635
159,418.464,0.64211,0.48812,0.85337,0.9814,1,0.995,0.72083,0.99885,0.57474,1.01977,0.000683919,0.000683919,0.000683919
160,421.098,0.6303,0.52518,0.8633,0.98946,1,0.995,0.69577,1.13966,0.62309,1.11743,0.000679204,0.000679204,0.000679204
161,423.724,0.63275,0.49539,0.86663,0.98744,1,0.995,0.71198,1.06942,0.6011,1.09399,0.000674488,0.000674488,0.000674488
162,426.345,0.61455,0.50945,0.86348,0.99014,1,0.995,0.73235,1.03686,0.57882,1.07847,0.000669772,0.000669772,0.000669772
163,429.027,0.59687,0.47735,0.86268,0.99308,1,0.995,0.72857,1.04296,0.59516,1.0706,0.000665057,0.000665057,0.000665057
164,431.637,0.59455,0.46604,0.8589,0.99255,1,0.995,0.7373,0.98967,0.60258,1.02629,0.000660341,0.000660341,0.000660341
165,434.31,0.61904,0.49416,0.86553,0.99292,1,0.995,0.73974,1.0741,0.6372,1.07391,0.000655625,0.000655625,0.000655625
166,436.943,0.59864,0.49273,0.86005,0.99213,1,0.995,0.71308,1.0765,0.62807,1.09032,0.000650909,0.000650909,0.000650909
167,439.598,0.562,0.4773,0.85278,0.99267,1,0.995,0.72408,1.01344,0.56958,1.07003,0.000646194,0.000646194,0.000646194
168,442.212,0.58005,0.4785,0.84408,0.99048,1,0.995,0.69912,1.10135,0.58827,1.08215,0.000641478,0.000641478,0.000641478
169,444.9,0.57263,0.47912,0.85719,0.99093,1,0.995,0.68898,1.10762,0.61842,1.05613,0.000636762,0.000636762,0.000636762
170,447.515,0.56508,0.45858,0.85035,0.99271,1,0.995,0.70418,1.08982,0.59632,1.07557,0.000632047,0.000632047,0.000632047
171,450.137,0.56682,0.45813,0.84406,0.99447,1,0.995,0.70123,1.04156,0.58862,1.03036,0.000627331,0.000627331,0.000627331
172,452.689,0.59699,0.46855,0.84585,0.99458,1,0.995,0.70161,1.02727,0.59588,1.0386,0.000622615,0.000622615,0.000622615
173,455.313,0.62962,0.47499,0.84764,0.99255,1,0.995,0.68581,1.12124,0.57625,1.10771,0.0006179,0.0006179,0.0006179
174,457.939,0.66748,0.50362,0.85521,0.9886,0.99032,0.995,0.67547,1.11622,0.58986,1.10905,0.000613184,0.000613184,0.000613184
175,460.608,0.66247,0.50393,0.85166,0.98641,0.99677,0.995,0.71592,1.02993,0.56975,1.04909,0.000608468,0.000608468,0.000608468
176,463.236,0.65279,0.48024,0.85474,0.96725,0.97164,0.95222,0.7206,1.01847,0.55105,1.04789,0.000603752,0.000603752,0.000603752
