epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,238.639,0.84674,0.58475,0.93053,0.88082,0.97222,0.93799,0.66037,1.15505,0.60237,1.34434,0.000764086,0.000764086,0.000764086
143,240.328,0.89063,0.62605,0.92801,0.93499,0.99629,0.97548,0.675,1.14751,0.60541,1.35107,0.000759371,0.000759371,0.000759371
144,242.05,0.86396,0.59859,0.94506,0.93541,1,0.9831,0.64616,1.17105,0.65649,1.21011,0.000754655,0.000754655,0.000754655
145,243.706,0.87167,0.63027,0.89678,0.93921,0.97222,0.98272,0.64321,1.17559,0.67608,1.22235,0.000749939,0.000749939,0.000749939
146,245.422,0.91733,0.62134,0.91746,0.90865,0.94444,0.93403,0.63678,1.10318,0.62911,1.18659,0.000745223,0.000745223,0.000745223
147,247.067,0.88273,0.62115,0.91154,0.91177,0.93958,0.92579,0.63457,1.09579,0.65478,1.20422,0.000740508,0.000740508,0.000740508
148,248.676,0.83385,0.58796,0.9169,0.90464,0.94444,0.92712,0.63192,1.15675,0.6653,1.2046,0.000735792,0.000735792,0.000735792
149,250.337,0.90213,0.62001,0.93118,0.93459,0.97222,0.97799,0.66017,1.16675,0.64149,1.23435,0.000731076,0.000731076,0.000731076
150,251.988,0.82472,0.56946,0.90532,0.9347,0.97222,0.98284,0.68478,1.12355,0.63058,1.23408,0.000726361,0.000726361,0.000726361
151,253.655,0.8566,0.59733,0.89593,0.92982,0.94444,0.94217,0.68381,1.08491,0.6202,1.24088,0.000721645,0.000721645,0.000721645
152,255.332,0.83265,0.58942,0.905,0.97199,1,0.995,0.63411,1.23659,0.64746,1.21318,0.000716929,0.000716929,0.000716929
153,257.04,0.84386,0.61404,0.92008,0.9614,0.9941,0.99295,0.63647,1.26227,0.65967,1.22816,0.000712214,0.000712214,0.000712214
154,258.675,0.85119,0.57876,0.91447,0.93043,0.95959,0.94767,0.6499,1.14453,0.66026,1.23121,0.000707498,0.000707498,0.000707498
155,260.313,0.90125,0.61557,0.91031,0.90622,0.97222,0.94357,0.63812,1.22535,0.70618,1.2548,0.000702782,0.000702782,0.000702782
156,261.989,0.91609,0.62869,0.91884,0.88148,0.9612,0.94495,0.63703,1.23945,0.68533,1.24346,0.000698066,0.000698066,0.000698066
157,263.667,0.86792,0.61787,0.91513,0.90958,0.94444,0.95729,0.66001,1.1542,0.63315,1.2112,0.000693351,0.000693351,0.000693351
158,265.395,0.87533,0.60918,0.91156,0.92593,0.9496,0.95712,0.64535,1.15789,0.62762,1.22837,0.000688635,0.000688635,0.000688635
